Table,Field,Type,RefTable,RefField,Adjust,EnumTypeString
AMR_DlList,Affix,Reference,BTL_ItemSkill_doll,,0,
AMR_DlList,Name,Message,AMR_DlList_ms,,0,
AMR_PcList,Affix,Reference,BTL_ItemSkill_inner,,0,
AMR_PcList,Name,Message,AMR_PcList_ms,,0,
BTL_ArtsList,Caption,Message,BTL_ArtsList_ms,,0,
BTL_ArtsList,Name,Message,BTL_ArtsList_ms,,0,
BTL_ArtsList,WpnType,Message,wpnpc_catlist_ms,,0,
BTL_BufEffList,Caption,Message,BTL_BufEffList_ms,,0,
BTL_BuffList,BufEff*,Reference,BTL_BufEffList,,0,
BTL_BuffList,Name,Message,BTL_BuffList_ms,,0,
BTL_BuffWeatherList,BuffA,Reference,BTL_BuffList,,0,
BTL_BuffWeatherList,BuffB,Reference,BTL_BuffList,,0,
BTL_BuffWeatherList,BuffC,Reference,BTL_BuffList,,0,
BTL_BuffWeatherList,BuffD,Reference,BTL_BuffList,,0,
BTL_BuffWeatherList,BuffE,Reference,BTL_BuffList,,0,
BTL_BuffWeatherList,Name,Message,BTL_BuffWeatherList_ms,,0,
BTL_EnArtsList,Buff,Reference,BTL_BuffList,,0,
BTL_EnArtsList,Name,Message,BTL_EnArtsList_ms,,0,
BTL_EnBook,*EnemyID,Reference,CHR_EnList,,0,
BTL_EnBook,Caption,Message,BTL_EnBook_ms,,0,
BTL_EnBook,MaterialNor*,Reference,ITM_MaterialList,,0,
BTL_Enhance,caption,Message,BTL_Enhance_ms,,0,
BTL_ItemSkill_doll,enhanceID,Reference,BTL_Enhance,,0,
BTL_ItemSkill_doll,Name,Message,BattleSkill_DL_ms,,0,
BTL_ItemSkill_inner,enhanceID,Reference,BTL_Enhance,,0,
BTL_ItemSkill_inner,Name,Message,BattleSkill_ms,,0,
BTL_SoulArts,Name,Message,BTL_SoulArts_ms,,0,
BTL_SoulData,ArtsJob,Reference,BTL_SoulArts,,0,
BTL_SoulData,SoulCode,Reference,BTL_SoulCode,,0,
BTL_SoulData,VoiceID,Reference,BTL_SoulVoice,,0,
BTL_SoulVoice,word_*,Message,BTL_SoulVoice*,,0,
BTL_SoulVoice,word_**,Message,BTL_SoulVoice0*,,0,
CHR_EnList,BookID,Reference,BTL_EnBook,,0,
CHR_EnList,DropTableID,Reference,DRP_BoxTable,,0,
CHR_EnList,Name,Message,CHR_EnList_ms,,0,
CHR_EnList,ParamID,Reference,CHR_EnParam,,0,
DRP_*ArmorTable_*,armor,Reference,DRP_ItemTable,,0,
DRP_*WpnTable_*,wpn,Reference,DRP_ItemTable,,0,
DRP_AffixTable,AffixID_*,Reference,BTL_ItemSkill_inner,,0,
DRP_BoxTable,BronzeBox,Reference,DRP_BronzeBoxTable,,0,
DRP_BoxTable,GoldBox,Reference,DRP_GoldBoxTable,,0,
DRP_BoxTable,LotRank,Reference,DRP_LotRankTable,,0,
DRP_BoxTable,PartsName,Message,ITM_MaterialList_ms,,0,
DRP_BoxTable,SilverBox,Reference,DRP_SilverBoxTable,,0,
DRP_BronzeBoxTable,Item_*,Reference,ITM_MaterialList,,0,
DRP_GoldBoxTable,Item_*,Reference,DRP_ItemTable,,0,
DRP_ItemTable,AffixLot,Reference,DRP_AffixTable,,0,
DRP_ItemTable,AffixLotGood,Reference,DRP_AffixTable,,0,
DRP_ItemTable,AffixNumLot,Reference,DRP_AffixSlotTable,,0,
DRP_ItemTable,AffixNumLotG,Reference,DRP_AffixSlotTable,,0,
DRP_ItemTable,ItemID,Item,,ItemType,0,
DRP_ItemTable,ItemType,Enum,,,0,ItemTypeXbx
DRP_ItemTable,SlotNumLot,Reference,DRP_AffixSlotTable,,0,
DRP_ItemTable,SlotNumLotG,Reference,DRP_AffixSlotTable,,0,
DRP_SilverBoxTable,Item_*,Reference,DRP_ItemTable,,0,
ITM_*,Caption,Message,ITM_*_ms,,0,
ITM_*,Name,Message,ITM_*_ms,,0,
ITM_Blueprint,category,Enum,,,0,ItemTypeXbx
ITM_Blueprint,itemID,Item,,category,0,
ITM_Blueprint,material_*,Reference,ITM_MaterialList,,0,
ITM_CollectList,category,Reference,MNU_CollectItemCategory,,0,
ITM_TradeList,ItemID,Reference,ITM_MaterialList,,0,
Litemlist*,itm*ID,Reference,ITM_CollectList,,0,
MNU_CollectItemCategory,CategoryName,Message,menu_program_ms,,0,
MNU_SegMapInfo*,infoID,Reference,ITM_InfoList,,0,
SCL_SquadProgressList,TaskID*,Reference,SCL_SquadTaskList,,0,
SCL_SquadQuestList,task,Reference,SCL_SquadProgressList,,0,
SCL_SquadQuestList,title,Message,MultiQuest_Title_ms,,0,
SCL_SquadTaskList,enemyID*,Reference,CHR_EnList,,0,
WPN_DlList,Affix,Reference,BTL_ItemSkill_doll,,0,
WPN_DlList,Name,Message,WPN_DlList_ms,,0,
WPN_PcList,Affix,Reference,BTL_ItemSkill_inner,,0,
WPN_PcList,Name,Message,WPN_PcList_ms,,0,
